,Error
776,0.4450450381280785
777,0.45612348926621327
778,0.4424039822252515
779,0.43771473482673084
780,0.4307202306184433
781,0.4250661785139846
782,0.418093548628982
783,0.40306572519628453
784,0.40272184040036935
785,0.41416129805873647
786,0.41722881478506224
787,0.4213226650642963
788,0.420633439343192
789,0.4198478897657328
790,0.4106704742126501
791,0.4075048260272365
792,0.4030720762602282
793,0.40954518413230406
794,0.4157543295528219
795,0.4088575905891771
796,0.410122299543879
797,0.4095140628864392
798,0.4154436321008795
799,0.4199933554475604
800,0.4143997457598009
801,0.4028819417647282
802,0.4030949932275426
803,0.40434372099029997
804,0.40244731965728303
805,0.4000838192416151
806,0.4049913998860009
807,0.4062553239512695
808,0.40894383619709274
809,0.4056630825074741
810,0.3960587983605158
811,0.39628863224605115
812,0.4009754889004228
813,0.39907419253946835
814,0.3945777403614337
815,0.3941328560943346
816,0.390018860473952
817,0.37284161028367185
818,0.3605196743927612
819,0.35378435237077915
820,0.3538187435812956
821,0.35391460294657445
822,0.36177236000542157
823,0.3667156865091331
824,0.36640139768331215
825,0.3721586449912337
826,0.3757711000682381
827,0.37749644712637287
828,0.3849918832633289
829,0.38990656964718173
830,0.38702844711616496
831,0.37567819989244133
832,0.37332939314537444
833,0.3761682934730796
834,0.377087218351224
835,0.3686031089939286
836,0.3746414786364652
837,0.3754765873196247
838,0.3731849846289931
839,0.35965840367577256
840,0.34784744801593576
841,0.3338204045683216
842,0.3260424877834094
843,0.31501896940563834
844,0.3158446020148212
845,0.3092436239718095
846,0.30471418849583415
847,0.3055936250941533
848,0.31199256379708634
849,0.3076103896481397
850,0.31540917909466315
851,0.3204468163709764
852,0.31832808039128474
853,0.3074405168566772
854,0.305168739480287
855,0.30628166886415026
856,0.3046609076261407
857,0.29933906878767574
858,0.28786896823631936
859,0.2878216900903091
860,0.28048805153149586
861,0.28145394123589024
862,0.2830956591120366
863,0.28035107058165637
864,0.28988098887889185
865,0.2925964246949286
866,0.2923724457076095
867,0.2911016871682031
868,0.2921636914089753
869,0.2870259487805074
870,0.2843009948658373
871,0.27010142149332644
872,0.2662322459095964
873,0.2704687529930665
874,0.27578886528396396
875,0.2807150310195002
876,0.28862436409498965
877,0.2899641975468238
878,0.29260287460092665
879,0.29510468021102537
880,0.30238898259310965
881,0.3088782610601946
882,0.30942218524303683
883,0.31041985064885297
884,0.3048122314131278
885,0.30274371885226276
886,0.30270140677574753
887,0.3026715401560335
888,0.30549827543051317
889,0.3112703663381298
890,0.321397078540892
891,0.32964834243192076
892,0.3330015120059953
893,0.32903969491860086
894,0.3311871215955229
895,0.32665292377602045
896,0.31618800304537265
897,0.3110065055485474
898,0.3086410846225964
899,0.3039338360758995
900,0.309495342180453
901,0.3089469035562898
902,0.314428678307384
903,0.31266796690027443
904,0.3028696093826655
905,0.29825729432914605
906,0.2836761578194403
907,0.26953578194330535
908,0.2596536459763083
909,0.2605736971726777
910,0.25600865658505634
911,0.26706115122969276
912,0.27536466689460937
913,0.2853606269620158
914,0.292160842580671
915,0.2967862624273522
916,0.2959430597680772
917,0.29531699817341345
918,0.29535063317583454
919,0.2962568160114733
920,0.29849814156735116
921,0.2972692008167605
922,0.29828619997158984
923,0.29048975333304916
924,0.2906616753960162
925,0.2887733185493599
926,0.27829439274633194
927,0.27082950229034725
928,0.2679880754615797
929,0.26644020853366673
930,0.27498052376939136
931,0.28034104453964825
932,0.2848153106152782
933,0.28578315498057716
934,0.2890817642069487
935,0.2885304938859444
936,0.28641228874761815
937,0.28657016696590426
938,0.27966086934668544
939,0.2718647126656456
940,0.26537010909416875
941,0.2690076153839898
942,0.2705361311473585
943,0.26529906998570213
944,0.25858725701674357
945,0.24797856248986774
946,0.24749693563687927
947,0.24186840374632218
948,0.24196421746332675
949,0.2512228271868345
950,0.25932343287330556
951,0.26584608250643005
952,0.2696188215859772
953,0.27745552293786163
954,0.27938172180579507
955,0.27807119964730354
956,0.2780771424452528
957,0.271809021544454
958,0.27160270239790335
959,0.26515836112360697
960,0.2613450400735042
961,0.2663306517685219
962,0.2700235203887738
963,0.26784737635233646
964,0.26966846230550284
965,0.27194976050024067
966,0.2800337075263596
967,0.2817956550841628
968,0.28581009061876383
969,0.2865847647506887
970,0.28441541077871546
971,0.28259097858981164
972,0.28945076660238606
973,0.2912631389229106
974,0.2904453011107276
975,0.28659432688533915
976,0.2900978498609725
977,0.2896612700584283
978,0.2891275915313537
979,0.28958807459172903
980,0.2809618721565717
981,0.27920296322400234
982,0.2717709004230259
983,0.27227472547879383
984,0.27241977589251715
985,0.2732635036699172
986,0.2715278012712416
987,0.27361912546905226
988,0.2706360207553357
989,0.2634385705835161
990,0.26606385848412584
991,0.2577969334173256
992,0.2423126700812522
993,0.23208813749943294
994,0.22512169147884442
995,0.22333316801148106
996,0.2206163908516615
997,0.21181477769661988
998,0.20842811324797456
999,0.2140571978742488
1000,0.21638708483227864
1001,0.21875786004752967
1002,0.2273330651967192
1003,0.22786836012121306
1004,0.22301971297156314
1005,0.22540014337501693
1006,0.222590606632589
1007,0.21701099881232933
1008,0.21081656671269722
1009,0.20510776396521838
1010,0.19972653321507652
1011,0.2000058545941734
1012,0.20007645479670996
1013,0.2007692028355905
1014,0.20842174761868565
1015,0.2080296353119813
1016,0.20851361502838994
1017,0.21068619310585737
1018,0.2138566850954488
1019,0.20552546180045822
1020,0.19822927415444805
1021,0.18125930345350277
1022,0.1621949982031519
1023,0.16214961706774284
1024,0.15471195984921243
1025,0.15602073397767874
1026,0.16609912623289008
1027,0.1722779959103491
1028,0.16563438617821713
1029,0.15387021734911827
1030,0.14726165607507802
1031,0.14609048829329646
1032,0.15747875290644708
1033,0.16581695110119263
1034,0.18160098323183313
1035,0.1942832532554555
1036,0.2023283745820525
1037,0.21095259963235763
1038,0.22085944997479967
1039,0.2297161401235788
1040,0.23116035148464711
1041,0.2294150676250081
1042,0.2260549795629235
1043,0.22677394187323863
1044,0.21721301161711562
1045,0.21305007971619502
1046,0.2087368275211845
1047,0.21310291674245488
1048,0.21677688528181274
1049,0.2063742126145843
1050,0.20574541283042022
1051,0.21520118609274935
1052,0.2202294045716534
1053,0.22192316275320031
1054,0.22180344313700429
1055,0.21120199629284855
1056,0.1988230040255196
1057,0.18646914994233582
1058,0.18700200276877701
1059,0.18631164585902169
1060,0.19029696333070098
1061,0.18578328362744903
1062,0.17159541894078056
1063,0.1566373262800599
1064,0.15608016862642957
1065,0.1621264670828448
1066,0.1641141488619904
1067,0.16717754673796215
1068,0.1646901682901855
1069,0.1687962588750295
1070,0.17026833362504157
1071,0.17487015000209682
1072,0.1800877893849835
1073,0.18761846695031492
1074,0.20225221770238785
1075,0.21350092706989407
1076,0.22353080072727474
1077,0.2290905982346497
1078,0.23076006157688025
1079,0.23281224146044813
1080,0.22688623455358853
1081,0.22998137353460207
1082,0.24324716941123975
1083,0.25163133255926085
1084,0.2488604044725766
1085,0.24947011791968318
1086,0.24106958918752688
1087,0.24025189141922063
1088,0.23963817062455442
1089,0.237642539720108
1090,0.23786675740816998
1091,0.23425025723396553
1092,0.2342148243102552
1093,0.23881313694581982
1094,0.23794584976978056
1095,0.2326195788920085
1096,0.22539062084285036
1097,0.22318930797345102
1098,0.22424683010241123
1099,0.21327144087079772
1100,0.20521930961895443
1101,0.19346605904081937
1102,0.18858042807474698
1103,0.1807765684789882
1104,0.17922967608978854
1105,0.17936441303231115
1106,0.18078193220447206
1107,0.1798165115516572
1108,0.17490336820942176
1109,0.17232172839684098
1110,0.16797235043623968
1111,0.17578645938440088
1112,0.1687048246345613
1113,0.16801028843163046
1114,0.16258282704073554
1115,0.1600411033595492
1116,0.16630394541406915
1117,0.1738723188078316
1118,0.18240661742589773
1119,0.18973190863325293
1120,0.19602405429877248
1121,0.19415660960348216
1122,0.19381158753224267
1123,0.18348574833200276
1124,0.16918302289256928
1125,0.16414396020535196
1126,0.17256641296980668
1127,0.17860587525673616
1128,0.17699853351745215
1129,0.17869657755905444
1130,0.18859558010876232
1131,0.19907734146452374
1132,0.2132738556258062
1133,0.2191881440129232
1134,0.22758293618423098
1135,0.23038966932667027
1136,0.2328165744355522
1137,0.23874891751366037
1138,0.24143792984702414
1139,0.244681474715582
1140,0.2397093421050138
1141,0.24104586620045518
1142,0.24189219557588496
1143,0.2501688156658058
1144,0.2505043401079986
1145,0.25411810571081567
1146,0.2535513105419529
1147,0.2515849856032293
1148,0.25354399542893535
1149,0.25636744235862946
1150,0.2586889166551668
1151,0.2528442647377896
1152,0.2506540173310453
1153,0.2504856338600925
1154,0.24347947591774208
1155,0.24097834801162
1156,0.22945156718696663
1157,0.21776078430762938
1158,0.2130017926122637
1159,0.20493269487964538
1160,0.20376313332104107
1161,0.20662568045945665
1162,0.2078131156902854
1163,0.22005962053898728
1164,0.2275867737683203
1165,0.23056929351977598
1166,0.23568831261254566
1167,0.22903679604290464
1168,0.21755336348823817
1169,0.2133633594298708
1170,0.20706122017856207
1171,0.19685954821420346
1172,0.18531925916690054
