Date,Open,High,Low,Close,Adj Close,Volume
2001-03-22,89.12000274658203,91.0,87.6500015258789,89.0999984741211,57.065269470214844,13328200
2001-03-23,93.5,94.98999786376953,90.29000091552734,93.51000213623047,59.889705657958984,12233600
2001-03-26,95.25,95.66000366210938,93.75,95.4000015258789,61.10019302368164,8581200
2001-03-27,94.0,100.0,93.97000122070312,99.5,63.72610092163086,11851200
2001-03-28,97.9000015258789,98.44999694824219,94.25,94.41000366210938,60.46609878540039,11890500
2001-03-29,94.45999908447266,97.06999969482422,94.26000213623047,95.04000091552734,60.869625091552734,10553700
2001-03-30,96.5,97.55999755859375,95.13999938964844,96.18000030517578,61.599735260009766,9461300
2001-04-02,97.44999694824219,98.0999984741211,93.58000183105469,94.66000366210938,60.626243591308594,8787000
2001-04-03,94.5999984741211,94.6500015258789,90.0999984741211,90.38999938964844,57.89143753051758,13330000
2001-04-04,90.44999694824219,94.05000305175781,90.05000305175781,92.0,58.92259979248047,13515600
2001-04-05,95.80000305175781,100.0,95.52999877929688,98.20999908447266,62.8998908996582,12506100
2001-04-06,98.0,100.0,96.4000015258789,97.94999694824219,62.733375549316406,13424200
2001-04-09,98.5,98.73999786376953,93.80000305175781,96.0,61.48444747924805,9486600
2001-04-10,97.0,99.9000015258789,96.55999755859375,99.05000305175781,63.437843322753906,10499400
2001-04-11,101.5,101.94000244140625,95.80000305175781,97.43000030517578,62.400325775146484,11498400
2001-04-12,96.4000015258789,97.5,95.1500015258789,96.19999694824219,61.61256408691406,9390100
2001-04-16,96.19999694824219,99.88999938964844,95.19999694824219,96.75,61.96479797363281,9188500
2001-04-17,97.0,99.87999725341797,97.0,99.69999694824219,63.85416793823242,9957300
2001-04-18,103.0,110.0,102.30000305175781,106.5,68.20931243896484,19814300
2001-04-19,112.0,115.9000015258789,110.44999694824219,114.47000122070312,73.31380462646484,25822400
2001-04-20,114.3499984741211,116.4000015258789,113.75,114.83000183105469,73.54438018798828,12759100
2001-04-23,114.01000213623047,114.05000305175781,111.68000030517578,112.0,71.73189544677734,8537500
2001-04-24,113.4000015258789,114.75,112.30000305175781,112.66999816894531,72.1609878540039,8742000
2001-04-25,112.0,114.8499984741211,111.98999786376953,114.8499984741211,73.55716705322266,6858500
2001-04-26,114.94999694824219,116.69999694824219,113.68000030517578,113.73999786376953,72.84626007080078,7346100
2001-04-27,116.80000305175781,116.9000015258789,114.55000305175781,116.19999694824219,74.42180633544922,7390600
2001-04-30,116.4000015258789,118.05000305175781,114.72000122070312,115.13999938964844,73.74288940429688,7357200
2001-05-01,115.8499984741211,118.6500015258789,114.9000015258789,118.51000213623047,75.90129852294922,7790800
2001-05-02,118.30000305175781,118.94999694824219,113.73999786376953,115.4000015258789,73.90943145751953,9706200
2001-05-03,114.5999984741211,115.0999984741211,112.3499984741211,113.69999694824219,72.8206787109375,6578000
2001-05-04,112.0,115.86000061035156,111.19999694824219,115.86000061035156,74.20407104492188,8681400
2001-05-07,116.19999694824219,117.25,115.0,115.9000015258789,74.22965240478516,6088600
2001-05-08,117.25,117.75,115.5,117.69999694824219,75.47369384765625,7605800
2001-05-09,116.19999694824219,118.18000030517578,115.30000305175781,116.9800033569336,75.011962890625,7680200
2001-05-10,118.5,118.9000015258789,115.19999694824219,115.19999694824219,73.87055206298828,7993900
2001-05-11,113.75,114.1500015258789,110.95999908447266,111.80999755859375,71.69676208496094,8390200
2001-05-14,111.19999694824219,113.18000030517578,111.0,112.55999755859375,72.17770385742188,5254800
2001-05-15,113.5,114.1500015258789,112.5,113.58000183105469,72.83175659179688,5873400
2001-05-16,112.5,115.80000305175781,112.19999694824219,115.80000305175781,74.25532531738281,7796700
2001-05-17,115.80000305175781,117.08999633789062,115.05000305175781,115.06999969482422,73.7872085571289,6887700
2001-05-18,115.06999969482422,117.68000030517578,114.9000015258789,117.44000244140625,75.30697631835938,6714900
2001-05-21,117.94999694824219,119.9000015258789,117.55000305175781,119.04000091552734,76.33293151855469,8409400
2001-05-22,119.69999694824219,119.69999694824219,117.25,118.01000213623047,75.6724624633789,6005300
2001-05-23,117.80000305175781,118.94999694824219,117.0999984741211,117.4000015258789,75.28131103515625,6402600
2001-05-24,117.5,119.5999984741211,117.5,119.5999984741211,76.6920394897461,7726400
2001-05-25,119.5199966430664,119.9000015258789,117.76000213623047,117.80000305175781,75.53781127929688,5629100
2001-05-29,117.3499984741211,117.58999633789062,115.08000183105469,115.2699966430664,73.91547393798828,5818000
2001-05-30,114.0,114.0999984741211,112.0,112.6500015258789,72.23542022705078,9598700
2001-05-31,112.6500015258789,113.86000061035156,111.63999938964844,111.80000305175781,71.69037628173828,6724100
